gene,lineage,correlation,p_value,q_value,ci_low,ci_high
AZU1,Mono_1,0.740213135584654,0.0,0.0,0.7283311713949642,0.7516500937163948
MPO,Mono_1,0.735162370108317,0.0,0.0,0.7230861568369132,0.7467893309489634
ELANE,Mono_1,0.7157105241897908,0.0,0.0,0.7028992061088573,0.7280576248812848
CTSG,Mono_1,0.7003661452919692,0.0,0.0,0.6869894957782045,0.7132683000630029
PRTN3,Mono_1,0.6494467774574125,0.0,0.0,0.6342858395227887,0.6641083839426866
RNASE2,Mono_1,0.5818348335785941,0.0,0.0,0.5645217846720548,0.5986361561680269
SRGN,Mono_1,0.5671622221759285,0.0,0.0,0.549414732664802,0.584398182301787
RPS19,Mono_1,0.5597695210168098,0.0,0.0,0.5418075347791872,0.5772204476453995
CFD,Mono_1,0.5385490815236567,0.0,0.0,0.5199877262207837,0.5566020699985386
RAB32,Mono_1,0.5372716830335853,0.0,0.0,0.5186750202876177,0.5553602035320706
MS4A3,Mono_1,0.5340623624102642,0.0,0.0,0.5153773804847819,0.5522397971362
PRSS57,Mono_1,0.5098878387685035,0.0,0.0,0.4905553540294988,0.5287186499752364
C1QTNF4,Mono_1,0.5040472532885478,0.0,0.0,0.48456303304005205,0.5230315798038149
RPS14,Mono_1,0.49464612035393596,0.0,0.0,0.47492150242411413,0.5138739966755366
RPS24,Mono_1,0.4921934527061364,0.0,0.0,0.47240689586001144,0.5114841479170686
CALR,Mono_1,0.47550097779200423,0.0,0.0,0.4553014263160327,0.4952112777462319
RNASE3,Mono_1,0.46848552119691717,0.0,0.0,0.4481168455079518,0.488368040923984
TNFSF13B,Mono_1,0.4665589037281368,0.0,0.0,0.44614424275772324,0.48648829115179654
RPL36,Mono_1,0.46344699974579917,0.0,0.0,0.4429584814827792,0.483451698896848
RPL13,Mono_1,0.45524536806056576,3.442517549388417e-305,2.416819445548138e-302,0.4345646720191354,0.4754462490846924
AIF1,Mono_1,0.45205088661088827,3.006612282645169e-300,2.010278240981944e-297,0.43129631046131756,0.4723272736334817
CSTA,Mono_1,0.45054058417230536,6.221309750012906e-298,3.970609554542328e-295,0.4297512682571866,0.4708524924798003
SPINK2,Mono_1,0.44648924109254035,8.754297697063793e-292,5.344308433237944e-289,0.42560733793448213,0.4668958734459126
RPL35,Mono_1,0.434160660155875,1.2394907873360774e-273,6.961476057994346e-271,0.4130023916763815,0.454850517573995
RPLP2,Mono_1,0.43141300945999,1.062942246718166e-269,5.740296956219142e-267,0.41019425207379506,0.452164956837595
CPA3,Mono_1,0.4234812112124316,1.4388260503578756e-258,7.482428360398123e-256,0.4020900936424495,0.44441028573814906
RPLP1,Mono_1,0.41775473085629333,9.832377986629896e-251,4.930586403938228e-248,0.3962412579585322,0.4388097345752117
CEBPD,Mono_1,0.41285277961178524,3.6947440811386405e-244,1.788893160112678e-241,0.39123595541034595,0.4340142807471145
CEBPA,Mono_1,0.4126115599647687,7.727390054067104e-244,3.616676124971873e-241,0.39098968296933045,0.43377827076059733
RPS12,Mono_1,0.4121336356452811,3.327204294925239e-243,1.507008887259525e-240,0.3905017567799964,0.4333106596731196
RPL28,Mono_1,0.4115432521311354,2.012612397152122e-242,8.830965833879045e-240,0.38989903465936016,0.43273300042972235
RPS18,Mono_1,0.4112430352274053,5.018717723797727e-242,2.1353883502982996e-239,0.38959255054293845,0.4324392472922535
RPL27A,Mono_1,0.41067829709074605,2.7917011859899723e-241,1.1528904809554471e-238,0.3890160361438197,0.4318866559557568
SMIM24,Mono_1,0.4038745711168256,2.004155200927343e-232,7.816761993394674e-230,0.38207176806192333,0.4252280178379114
RPL12,Mono_1,0.3921404202626921,1.1330805768483238e-217,4.2998876701425177e-215,0.3701010114530836,0.4137386614573854
RPL34,Mono_1,0.38961944664236786,1.3786798212943584e-214,5.094221939682654e-212,0.3675301600383169,0.4112693815236223
KBTBD11,Mono_1,0.384926997847669,6.374193743790256e-209,2.2948731886297175e-206,0.36274576936585445,0.4066723071210956
RPL37A,Mono_1,0.38344666843768377,3.721879529903306e-207,1.3064727619843078e-204,0.3612366775957431,0.40522183698992786
SERPINB10,Mono_1,0.3778442459603152,1.4669371425044744e-200,4.7900614925361225e-198,0.35552645485849627,0.3997314265875596
